Sample Number	Data
198	"Humidity: 58.80 %, Temp: 28.60 Celsius"
199	"Humidity: 58.80 %, Temp: 28.50 Celsius"
200	"Humidity: 58.80 %, Temp: 28.50 Celsius"
201	"Humidity: 58.80 %, Temp: 28.50 Celsius"
202	"Humidity: 58.80 %, Temp: 28.50 Celsius"
203	"Humidity: 58.80 %, Temp: 28.50 Celsius"
204	"Humidity: 58.90 %, Temp: 28.50 Celsius"
205	"Humidity: 58.90 %, Temp: 28.50 Celsius"
206	"Humidity: 58.90 %, Temp: 28.50 Celsius"
207	"Humidity: 58.90 %, Temp: 28.50 Celsius"
208	"Humidity: 59.00 %, Temp: 28.50 Celsius"
209	"Humidity: 59.00 %, Temp: 28.50 Celsius"
210	"Humidity: 59.00 %, Temp: 28.40 Celsius"
211	"Humidity: 59.00 %, Temp: 28.40 Celsius"
212	"Humidity: 59.00 %, Temp: 28.40 Celsius"
213	"Humidity: 59.00 %, Temp: 28.40 Celsius"
214	"Humidity: 59.10 %, Temp: 28.40 Celsius"
215	"Humidity: 59.10 %, Temp: 28.40 Celsius"
216	"Humidity: 59.10 %, Temp: 28.40 Celsius"
217	"Humidity: 59.10 %, Temp: 28.40 Celsius"
218	"Humidity: 59.20 %, Temp: 28.40 Celsius"
219	"Humidity: 59.20 %, Temp: 28.40 Celsius"
220	"Humidity: 59.20 %, Temp: 28.40 Celsius"
221	"Humidity: 59.20 %, Temp: 28.40 Celsius"
222	"Humidity: 59.20 %, Temp: 28.40 Celsius"
223	"Humidity: 59.20 %, Temp: 28.30 Celsius"
224	"Humidity: 59.30 %, Temp: 28.40 Celsius"
225	"Humidity: 59.30 %, Temp: 28.40 Celsius"
226	"Humidity: 59.30 %, Temp: 28.40 Celsius"
227	"Humidity: 59.40 %, Temp: 28.40 Celsius"
